key,text,tag,file,type,mod,protected_text,translated
VFE.SunbathingNotPossible.BadWeather,bad weather,VFE.SunbathingNotPossible.BadWeather,Keys.xml,keyed,Vanilla Furniture Expanded,bad weather,恶劣天气
VFE.SunbathingNotPossible.NotSunny,not sunny enough,VFE.SunbathingNotPossible.NotSunny,Keys.xml,keyed,Vanilla Furniture Expanded,not sunny enough,阳光不够
VFE.SunbathingNotPossible.PawnOutdoors,{PAWN_labelShort} doesn't enjoy outdoors,VFE.SunbathingNotPossible.PawnOutdoors,Keys.xml,keyed,Vanilla Furniture Expanded,(PH_1) doesn't enjoy outdoors,{PAWN_labelShort} doesn't enjoy outdoors
VFE.SunbathingNotPossible.PawnComfortableTemperature,not comfortable temperature for {PAWN_labelShort},VFE.SunbathingNotPossible.PawnComfortableTemperature,Keys.xml,keyed,Vanilla Furniture Expanded,not comfortable temperature for (PH_1),{PAWN_labelShort} 的温度不舒服
VFE_AnimalSarcophagus.label,animal sarcophagus,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,animal sarcophagus,动物石棺
VFE_AnimalSarcophagus.description,An ornamented burial receptacle for the honored dead animals.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,An ornamented burial receptacle for the honored dead animals.,一种装饰精美的埋葬容器，用于安放受尊敬的死去的动物。
Bed_StoneSlab.label,chiseled bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,chiseled bed,凿床
Bed_StoneSlab.description,A simple yet beautiful stone slab used for sleeping. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple yet beautiful stone slab used for sleeping. It offers minimal comfort but is durable and fireproof.,一块简单而美丽的石板，用于睡觉。它提供最低限度的舒适度，但耐用且防火。
VFE_Bed_StoneSlabDouble.label,chiseled double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,chiseled double bed,轮廓分明的双人床
VFE_Bed_StoneSlabDouble.description,A simple yet beautiful stone slab used for sleeping that fits two people. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple yet beautiful stone slab used for sleeping that fits two people. It offers minimal comfort but is durable and fireproof.,一块简单而美丽的石板，适合两个人睡觉。它提供最低限度的舒适度，但耐用且防火。
Bed_Simple.label,simple bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,simple bed,简单的床
Bed_Simple.description,"A somewhat comfy net and pillow rested on a sturdy frame. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A somewhat comfy net and pillow rested on a sturdy frame. Due to the simple construction, quality is not a factor in this bed.",一个有点舒适的网和枕头放在坚固的框架上。由于结构简单，质量不是这张床的一个因素。
VFE_Bed_SimpleDouble.label,simple double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,simple double bed,简单的双人床
VFE_Bed_SimpleDouble.description,"A somewhat comfy net and pillow rested on a sturdy frame that fits two people. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A somewhat comfy net and pillow rested on a sturdy frame that fits two people. Due to the simple construction, quality is not a factor in this bed.",一个有点舒适的网和枕头放在一个适合两个人的坚固框架上。由于结构简单，质量不是这张床的一个因素。
Seat_Cushion.label,sitting cushion,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,sitting cushion,坐垫
Seat_Cushion.description,A soft cushion designed for sitting. More comfortable than a stool but still a simple seating option.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A soft cushion designed for sitting. More comfortable than a stool but still a simple seating option.,专为坐着而设计的柔软坐垫。比凳子更舒适，但仍然是一个简单的座位选择。
Seat_Bench.label,bench,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,bench,长椅
Seat_Bench.description,"A simple long platform on which multiple people may sit at the same time, not very comfortable but much better than nothing. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A simple long platform on which multiple people may sit at the same time, not very comfortable but much better than nothing. Can be used at tables, work stations, and elsewhere.",一个简单的长平台，可以同时坐多个人，不太舒服，但总比没有好。可在桌子、工作站和其他地方使用。
Seat_SquareChair.label,school chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,school chair,学校椅子
Seat_SquareChair.description,"An uncomfortable school chair. Can be used at tables, work stations, and elsewhere. Improves the learning rate when adjacent to the school desk.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An uncomfortable school chair. Can be used at tables, work stations, and elsewhere. Improves the learning rate when adjacent to the school desk.",一把不舒服的学校椅子。可在桌子、工作站和其他地方使用。提高靠近课桌时的学习率。
Table_1x1c.label,table (1x1),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,table (1x1),桌子 (1x1)
Table_Counter.label,counter,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,counter,柜台
Table_Counter.description,People eat off counters when chairs are placed facing them,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,People eat off counters when chairs are placed facing them,当椅子面向他们放置时，人们在柜台上吃饭
VFE_CoffeeTable.label,coffee table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,coffee table,茶几
VFE_CoffeeTable.description,A small table which makes nearby armchairs and couches a little bit more comfortable. Must be placed directly adjacent to the couch or an armchair. Placing more than one coffee table near the same couch has no effect.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A small table which makes nearby armchairs and couches a little bit more comfortable. Must be placed directly adjacent to the couch or an armchair. Placing more than one coffee table near the same couch has no effect.,一张小桌子，让附近的扶手椅和沙发变得更舒适。必须直接放置在沙发或扶手椅附近。在同一张沙发附近放置多个咖啡桌没有任何效果。
Stone_Campfire.label,firepit,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,firepit,火坑
Stone_Campfire.description,"Cooks meals and produces heat, but burns wood in the process. As with all heat sources, it must be placed indoors so it has a closed space to heat. Refuelable.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"Cooks meals and produces heat, but burns wood in the process. As with all heat sources, it must be placed indoors so it has a closed space to heat. Refuelable.",做饭并产生热量，但在此过程中燃烧木材。与所有热源一样，它必须放置在室内，以便有一个封闭的空间来加热。可加油。
Radio_Industrial.label,industrial radio,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,industrial radio,工业无线电
Radio_Industrial.description,"An industrial-era radio for playing music and spoken broadcasts. Even on the rimworlds, there is often an old transmitter running something at least marginally interesting. Provides passive music recreation to those that can hear it.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An industrial-era radio for playing music and spoken broadcasts. Even on the rimworlds, there is often an old transmitter running something at least marginally interesting. Provides passive music recreation to those that can hear it.",用于播放音乐和语音广播的工业时代收音机。即使在边缘世界，也经常有一台旧的发射机运行着一些至少有点有趣的东西。为那些能听到音乐的人提供被动的音乐娱乐。
Radio_Spacer.label,longwave radio,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,longwave radio,长波无线电
Radio_Spacer.description,"A state-of-the-art, high-fidelity radio that uses advanced longwave transmission to deliver crystal-clear music, broadcasts, and interstellar transmissions. Even on the rimworlds, someone out there is always transmitting something - whether it’s news, music, or distant voices from the void..",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A state-of-the-art, high-fidelity radio that uses advanced longwave transmission to deliver crystal-clear music, broadcasts, and interstellar transmissions. Even on the rimworlds, someone out there is always transmitting something - whether it’s news, music, or distant voices from the void..",一种最先进的高保真度无线电，使用先进的长波传输来提供清晰的音乐、广播和星际传输。即使在边缘世界，总有人在传送一些东西——无论是新闻、音乐，还是来自虚空的遥远声音。
Joy_Arcade.label,arcade machine,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,arcade machine,街机
Joy_Arcade.description,"A bulky, coin-operated arcade cabinet with an aging CRT screen and colorful buttons. Though outdated, it still provides hours of digital entertainment. Classic games never truly die.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A bulky, coin-operated arcade cabinet with an aging CRT screen and colorful buttons. Though outdated, it still provides hours of digital entertainment. Classic games never truly die.",一个笨重的投币式街机柜，配有老化的 CRT 屏幕和色彩缤纷的 按钮。尽管已经过时，但它仍然提供数小时的数字娱乐。经典游戏永远不会真正消亡。
Joy_InudstrialComputer.label,old computer,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,old computer,旧电脑
Joy_InudstrialComputer.description,"A bulky, outdated computer standing on a small desk. The screen flickers, the keys stick, and it hums with age, but it still runs simple programs. There's always some archaic software waiting to be used.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A bulky, outdated computer standing on a small desk. The screen flickers, the keys stick, and it hums with age, but it still runs simple programs. There's always some archaic software waiting to be used.",一张小桌子上放着一台笨重、过时的电脑。屏幕会闪烁，按键会卡住，而且随着时间的推移，它会发出嗡嗡声，但它仍然可以运行简单的程序。总是有一些过时的软件等待使用。
Joy_ModernComputer.label,modern computer,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,modern computer,现代计算机
Joy_ModernComputer.description,"A sleek, high-performance computing station housed on a sturdy desk. Equipped with a fast processor, an ergonomic keyboard, and a crisp, flat-panel display, it offers a vast range of software: whether for research, entertainment, or light interstellar networking.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sleek, high-performance computing station housed on a sturdy desk. Equipped with a fast processor, an ergonomic keyboard, and a crisp, flat-panel display, it offers a vast range of software: whether for research, entertainment, or light interstellar networking.",时尚的高性能计算站位于坚固的桌子上。它配备了快速处理器、符合人体工程学的键盘和清晰的平板显示器，提供了大量软件：无论是用于研究、娱乐还是轻型星际网络。
Joy_Piano.label,upright piano,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,upright piano,立式钢琴
Joy_Piano.description,A compact upright piano designed for musical recreation. A great way to develop artistic skills and entertain others.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A compact upright piano designed for musical recreation. A great way to develop artistic skills and entertain others.,专为音乐娱乐而设计的紧凑型立式钢琴。这是发展艺术技能和娱乐他人的好方法。
Joy_RouletteTable.label,roulette table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,roulette table,轮盘赌桌
Joy_RouletteTable.description,"A sophisticated gambling table designed for playing roulette. A thrilling mix of chance and strategy, making it a centerpiece of any high-end casino or social space.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sophisticated gambling table designed for playing roulette. A thrilling mix of chance and strategy, making it a centerpiece of any high-end casino or social space.",专为玩轮盘赌而设计的精致赌桌。机会与策略的惊心动魄的结合，使其成为任何高端赌场或社交空间的核心。
Joy_DartsBoard.label,darts board,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,darts board,飞镖盘
Joy_DartsBoard.description,A simple dartboard mounted on a stand. A fun way to practice accuracy and hand-eye coordination. It trains shooting ability.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple dartboard mounted on a stand. A fun way to practice accuracy and hand-eye coordination. It trains shooting ability.,安装在支架上的简单飞镖靶。这是练习准确性和手眼协调能力的有趣方式。可以训练射击能力。
Joy_PunchingBag.label,punching bag,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,punching bag,出气筒
Joy_PunchingBag.description,"A sturdy, stand-mounted punching bag for combat training and stress relief. It trains melee combat ability.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sturdy, stand-mounted punching bag for combat training and stress relief. It trains melee combat ability.",坚固的立式沙袋，用于战斗训练和缓解压力。它训练近战格斗能力。
VFE_Lounger.label,lounger,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,lounger,躺椅
VFE_Lounger.description,"A reclining cushioned lounger designed for relaxation. Offers superior comfort but is not ideal for deep, restful sleep. Allows for sunbathing recreation.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A reclining cushioned lounger designed for relaxation. Offers superior comfort but is not ideal for deep, restful sleep. Allows for sunbathing recreation.",专为放松而设计的斜躺式软垫躺椅。提供卓越的舒适度，但不适合深度、安宁的睡眠。可以进行日光浴休闲。
Misc_FileCabinet.label,filing cabinet,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,filing cabinet,文件柜
Misc_FileCabinet.description,Increases research speed when placed near a research bench. One research bench can use up to two filing cabinets.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,Increases research speed when placed near a research bench. One research bench can use up to two filing cabinets.,放置在研究台附近时可以提高研究速度。一张研究台最多可使用两个文件柜。
Shelf_WeaponRack.label,weapon rack,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,weapon rack,武器架
Shelf_WeaponRack.description,"A shelf for storing weapons. Items stored in this will not affect room beauty and they won't deteriorate, even if outside.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A shelf for storing weapons. Items stored in this will not affect room beauty and they won't deteriorate, even if outside.",存放武器的架子。存放在其中的物品不会影响房间美观，即使在室外也不会变质。
Bin_Small.label,small bin,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,small bin,小垃圾箱
Bin_Small.description,A small bin to help keep the surrounding area somewhat clean. Slowly removes trash and filth in a 10-cell radius.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A small bin to help keep the surrounding area somewhat clean. Slowly removes trash and filth in a 10-cell radius.,一个小垃圾箱，有助于保持周围区域的清洁。缓慢清除 10 格半径内的垃圾和污物。
Bin_Large.label,large bin,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,large bin,大垃圾箱
Bin_Large.description,A spacious waste disposal unit that efficiently keeps the surrounding area clean. Slowly removes trash and filth in a 15-cell radius.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A spacious waste disposal unit that efficiently keeps the surrounding area clean. Slowly removes trash and filth in a 15-cell radius.,宽敞的废物处理装置，可有效保持周围区域清洁。缓慢清除 15 格半径内的垃圾和污物。
VFE_LongPlantPot.label,long plant pot,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,long plant pot,长花盆
VFE_LongPlantPot.description,Plant decorative flowers here to improve the mood of people nearby. Designed to be combined with other plant pots to form various shapes.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,Plant decorative flowers here to improve the mood of people nearby. Designed to be combined with other plant pots to form various shapes.,在这里种植装饰花卉可以改善附近人们的心情。设计用于与其他花盆组合形成各种形状。
VFE_DeskLamp.label,desk lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,desk lamp,台灯
VFE_DeskLamp.description,An electrical desk lamp that lights a small area. People need light to move and work at full speed.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,An electrical desk lamp that lights a small area. People need light to move and work at full speed.,一种可以照亮小区域的电动台灯。人们需要光来全速移动和工作。
VFE_FloorLamp.label,floor lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,floor lamp,落地灯
VFE_FloorLamp.description,"A low-profile light source embedded into the floor. While not as bright as a standing lamp, it provides subtle, even lighting without obstructing movement. Does not short circuit in rain.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A low-profile light source embedded into the floor. While not as bright as a standing lamp, it provides subtle, even lighting without obstructing movement. Does not short circuit in rain.",嵌入地板的低调光源。虽然不如立灯明亮，但它提供微妙、均匀的照明，且不会妨碍移动。雨天不会短路。
Light_Streetlamp.label,outdoor lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,outdoor lamp,户外灯
Light_Streetlamp.description,"An electrical standing lamp that lights an area, good for large outdoor spaces. Will automatically turn off during the day to prevent power consumption.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An electrical standing lamp that lights an area, good for large outdoor spaces. Will automatically turn off during the day to prevent power consumption.",一种照明区域的电动立灯，适合大型户外空间。白天会自动关闭，防止电量消耗。
Bed_Ergonomic.label,ergonomic bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic bed,符合人体工学的床
Bed_Ergonomic.description,"A modern, adjustable bed designed for maximum comfort and proper spinal support.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, adjustable bed designed for maximum comfort and proper spinal support.",一款现代的可调节床，旨在提供最大的舒适度和适当的脊柱支撑。
Bed_DoubleErgonomic.label,ergonomic double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic double bed,符合人体工学的双人床
Bed_DoubleErgonomic.description,"A modern, adjustable bed designed for maximum comfort and proper spinal support. Fits two people.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, adjustable bed designed for maximum comfort and proper spinal support. Fits two people.",一款现代的可调节床，旨在提供最大的舒适度和适当的脊柱支撑。适合两个人。
Table_Wardrobe.label,wardrobe,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,wardrobe,衣柜
Table_Wardrobe.description,A tall wardrobe for storing clothing and other items. Gives a small comfort bonus to all nearby beds. Placing more than one wardrobe near the same bed has no effect.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A tall wardrobe for storing clothing and other items. Gives a small comfort bonus to all nearby beds. Placing more than one wardrobe near the same bed has no effect.,一个高衣柜，用于存放衣服和其他物品。为附近的所有床位带来一点舒适感。在同一张床附近放置多个衣柜没有任何效果。
Seat_ModernChair.label,ergonomic chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic chair,人体工学椅
Seat_ModernChair.description,"A modern, well-designed chair with excellent back support and padding, providing high comfort.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, well-designed chair with excellent back support and padding, providing high comfort.",一款设计精良的现代椅子，具有出色的靠背支撑和衬垫，提供很高的舒适度。
VFE_ModularCouch.label,modular couch,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,modular couch,模块化沙发
VFE_ModularCouch.description,"A compact, cushioned seat designed to be combined with others to create larger couches or corner seating arrangements. Ideal for large rec rooms, lounges, or social areas.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A compact, cushioned seat designed to be combined with others to create larger couches or corner seating arrangements. Ideal for large rec rooms, lounges, or social areas.",紧凑型软垫座椅，设计用于与其他座椅组合以形成更大的沙发或角落座椅布置。非常适合大型娱乐室、休息室或社交区域。
Bed_Kingsize.label,royal poster bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal poster bed,皇家海报床
Bed_Kingsize.description,"An extravagant four-poster bed fit for nobility, adorned with intricate carvings. Extremely comfy and luxurious, its imposing frame and detailed craftsmanship make it a work of art. Fits two.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An extravagant four-poster bed fit for nobility, adorned with intricate carvings. Extremely comfy and luxurious, its imposing frame and detailed craftsmanship make it a work of art. Fits two.",奢华的四柱床，适合贵族，装饰着复杂的雕刻。极其舒适和奢华，其雄伟的框架和细致的工艺使其成为一件艺术品。适合两个人。
Table_RoyalEndTable.label,royal end table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal end table,皇家茶几
Table_RoyalEndTable.description,"A finely crafted bedside table adorned with gold inlays and exquisite detailing. Enhances the comfort of nearby beds, providing a touch of nobility to any sleeping quarters. Must be placed directly adjacent to the head of the bed. Placing more than one near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A finely crafted bedside table adorned with gold inlays and exquisite detailing. Enhances the comfort of nearby beds, providing a touch of nobility to any sleeping quarters. Must be placed directly adjacent to the head of the bed. Placing more than one near the same bed has no effect.",精心制作的床头柜，饰有金色镶嵌物和精致的细节。增强附近床铺的舒适度，为任何睡眠区带来 触感 高贵感。必须直接放置在床头附近。在同一张床附近放置多张床没有效果。
Table_RoyalDresser.label,royal dresser,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal dresser,皇家梳妆台
Table_RoyalDresser.description,"A luxurious dresser, adorned with solid gold and elegant in design, making nearby beds more comfortable.Placing more than one end table near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A luxurious dresser, adorned with solid gold and elegant in design, making nearby beds more comfortable.Placing more than one end table near the same bed has no effect.",奢华的梳妆台，采用纯金装饰，设计优雅，让附近的床更舒适。在同一张床附近放置多个茶几没有任何影响。
VFE_RoyalWardrobe.label,royal wardrobe,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal wardrobe,皇家衣柜
VFE_RoyalWardrobe.description,"A grand, gold-trimmed wardrobe designed for nobility. Gives a small comfort bonus to all nearby beds. Placing more than one royal wardrobe near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A grand, gold-trimmed wardrobe designed for nobility. Gives a small comfort bonus to all nearby beds. Placing more than one royal wardrobe near the same bed has no effect.",专为贵族设计的华丽金边衣柜。为附近的所有床位带来一点舒适感。在同一张床附近放置多个皇家衣柜没有任何效果。
VFE_RoyalLamp.label,royal standing lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal standing lamp,皇家立灯
VFE_RoyalLamp.description,A beautifully crafted standing lamp adorned with gold trim and elegant design.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A beautifully crafted standing lamp adorned with gold trim and elegant design.,一款做工精美的立灯，饰有金色镶边和优雅的设计。
Seat_RoyalChair.label,royal chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal chair,皇家椅子
Seat_RoyalChair.description,"A luxurious, high-backed dining chair adorned with fine upholstery and intricate craftsmanship. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A luxurious, high-backed dining chair adorned with fine upholstery and intricate craftsmanship. Can be used at tables, work stations, and elsewhere.",豪华的高背餐椅，装饰有精美的内饰和复杂的工艺。可在桌子、工作站和其他地方使用。
Seat_RoyalArmchair.label,royal armchair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal armchair,Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.
Seat_RoyalArmchair.description,"A grand, exquisitely crafted armchair with deep cushions, fine upholstery, and ornate detailing. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A grand, exquisitely crafted armchair with deep cushions, fine upholstery, and ornate detailing. Can be used at tables, work stations, and elsewhere.",一款制作精美的宏伟扶手椅，配有深垫子、精美的内饰和华丽的细节。可在桌子、工作站和其他地方使用。
Table_Royal1x1c.label,royal table (1x1),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (1x1),皇家餐桌 (1x1)
Table_Royal1x2c.label,royal table (1x2),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (1x2),皇家餐桌 (1x2)
Table_Royal2x2c.label,royal table (2x2),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (2x2),皇家餐桌 (2x2)
Table_Royal2x4c.label,royal table (2x4),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (2x4),皇家餐桌 (2x4)
Table_Royal3x3c.label,royal table (3x3),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (3x3),皇家餐桌 (3x3)
VFE_ListeningToMusic.label,listening to music,label,HediffDef/HediffDef.xml,def,Vanilla Furniture Expanded,listening to music,听音乐
VFE_ListeningToMusic.description,Currently gaining recreation due to listening to music.,description,HediffDef/HediffDef.xml,def,Vanilla Furniture Expanded,Currently gaining recreation due to listening to music.,目前通过听音乐获得娱乐。
Play_Roulette.reportString,playing roulette.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing roulette.,玩轮盘赌。
Play_Arcade.reportString,playing arcade game.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing arcade game.,玩街机游戏。
Play_Piano.reportString,playing piano.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing piano.,弹钢琴。
Play_DartsBoard.reportString,playing darts.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing darts.,玩飞镖。
Play_PunchingBag.reportString,using punching bag.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using punching bag.,使用沙袋。
VFE_Play_Computer.reportString,using computer.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using computer.,使用电脑。
VFE_Play_Sunbathing.reportString,sunbathing.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,sunbathing.,日光浴。
