key,text,tag,file,type,mod,protected_text
Seat_Bench.description,"A simple long platform on which multiple people may sit at the same time, not very comfortable but much better than nothing. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A simple long platform on which multiple people may sit at the same time, not very comfortable but much better than nothing. Can be used at tables, work stations, and elsewhere."
Seat_SquareChair.label,school chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,school chair
Seat_SquareChair.description,"An uncomfortable school chair. Can be used at tables, work stations, and elsewhere. Improves the learning rate when adjacent to the school desk.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An uncomfortable school chair. Can be used at tables, work stations, and elsewhere. Improves the learning rate when adjacent to the school desk."
Table_1x1c.label,table (1x1),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,table (1x1)
Table_Counter.label,counter,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,counter
Table_Counter.description,People eat off counters when chairs are placed facing them,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,People eat off counters when chairs are placed facing them
VFE_CoffeeTable.label,coffee table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,coffee table
VFE_CoffeeTable.description,A small table which makes nearby armchairs and couches a little bit more comfortable. Must be placed directly adjacent to the couch or an armchair. Placing more than one coffee table near the same couch has no effect.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A small table which makes nearby armchairs and couches a little bit more comfortable. Must be placed directly adjacent to the couch or an armchair. Placing more than one coffee table near the same couch has no effect.
Stone_Campfire.label,firepit,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,firepit
Stone_Campfire.description,"Cooks meals and produces heat, but burns wood in the process. As with all heat sources, it must be placed indoors so it has a closed space to heat. Refuelable.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"Cooks meals and produces heat, but burns wood in the process. As with all heat sources, it must be placed indoors so it has a closed space to heat. Refuelable."
Radio_Industrial.label,industrial radio,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,industrial radio
Radio_Industrial.description,"An industrial-era radio for playing music and spoken broadcasts. Even on the rimworlds, there is often an old transmitter running something at least marginally interesting. Provides passive music recreation to those that can hear it.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An industrial-era radio for playing music and spoken broadcasts. Even on the rimworlds, there is often an old transmitter running something at least marginally interesting. Provides passive music recreation to those that can hear it."
Radio_Spacer.label,longwave radio,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,longwave radio
Radio_Spacer.description,"A state-of-the-art, high-fidelity radio that uses advanced longwave transmission to deliver crystal-clear music, broadcasts, and interstellar transmissions. Even on the rimworlds, someone out there is always transmitting something - whether it’s news, music, or distant voices from the void..",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A state-of-the-art, high-fidelity radio that uses advanced longwave transmission to deliver crystal-clear music, broadcasts, and interstellar transmissions. Even on the rimworlds, someone out there is always transmitting something - whether it’s news, music, or distant voices from the void.."
Joy_Arcade.label,arcade machine,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,arcade machine
Joy_Arcade.description,"A bulky, coin-operated arcade cabinet with an aging CRT screen and colorful buttons. Though outdated, it still provides hours of digital entertainment. Classic games never truly die.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A bulky, coin-operated arcade cabinet with an aging CRT screen and colorful buttons. Though outdated, it still provides hours of digital entertainment. Classic games never truly die."
Joy_InudstrialComputer.label,old computer,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,old computer
Joy_InudstrialComputer.description,"A bulky, outdated computer standing on a small desk. The screen flickers, the keys stick, and it hums with age, but it still runs simple programs. There's always some archaic software waiting to be used.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A bulky, outdated computer standing on a small desk. The screen flickers, the keys stick, and it hums with age, but it still runs simple programs. There's always some archaic software waiting to be used."
Joy_ModernComputer.label,modern computer,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,modern computer
Joy_ModernComputer.description,"A sleek, high-performance computing station housed on a sturdy desk. Equipped with a fast processor, an ergonomic keyboard, and a crisp, flat-panel display, it offers a vast range of software: whether for research, entertainment, or light interstellar networking.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sleek, high-performance computing station housed on a sturdy desk. Equipped with a fast processor, an ergonomic keyboard, and a crisp, flat-panel display, it offers a vast range of software: whether for research, entertainment, or light interstellar networking."
Joy_Piano.label,upright piano,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,upright piano
Joy_Piano.description,A compact upright piano designed for musical recreation. A great way to develop artistic skills and entertain others.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A compact upright piano designed for musical recreation. A great way to develop artistic skills and entertain others.
Joy_RouletteTable.label,roulette table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,roulette table
Joy_RouletteTable.description,"A sophisticated gambling table designed for playing roulette. A thrilling mix of chance and strategy, making it a centerpiece of any high-end casino or social space.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sophisticated gambling table designed for playing roulette. A thrilling mix of chance and strategy, making it a centerpiece of any high-end casino or social space."
Joy_DartsBoard.label,darts board,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,darts board
Joy_DartsBoard.description,A simple dartboard mounted on a stand. A fun way to practice accuracy and hand-eye coordination. It trains shooting ability.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple dartboard mounted on a stand. A fun way to practice accuracy and hand-eye coordination. It trains shooting ability.
Joy_PunchingBag.label,punching bag,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,punching bag
Joy_PunchingBag.description,"A sturdy, stand-mounted punching bag for combat training and stress relief. It trains melee combat ability.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A sturdy, stand-mounted punching bag for combat training and stress relief. It trains melee combat ability."
VFE_Lounger.label,lounger,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,lounger
VFE_Lounger.description,"A reclining cushioned lounger designed for relaxation. Offers superior comfort but is not ideal for deep, restful sleep. Allows for sunbathing recreation.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A reclining cushioned lounger designed for relaxation. Offers superior comfort but is not ideal for deep, restful sleep. Allows for sunbathing recreation."
Misc_FileCabinet.label,filing cabinet,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,filing cabinet
Misc_FileCabinet.description,Increases research speed when placed near a research bench. One research bench can use up to two filing cabinets.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,Increases research speed when placed near a research bench. One research bench can use up to two filing cabinets.
Shelf_WeaponRack.label,weapon rack,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,weapon rack
Shelf_WeaponRack.description,"A shelf for storing weapons. Items stored in this will not affect room beauty and they won't deteriorate, even if outside.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A shelf for storing weapons. Items stored in this will not affect room beauty and they won't deteriorate, even if outside."
Bin_Small.label,small bin,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,small bin
Bin_Small.description,A small bin to help keep the surrounding area somewhat clean. Slowly removes trash and filth in a 10-cell radius.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A small bin to help keep the surrounding area somewhat clean. Slowly removes trash and filth in a 10-cell radius.
Bin_Large.label,large bin,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,large bin
Bin_Large.description,A spacious waste disposal unit that efficiently keeps the surrounding area clean. Slowly removes trash and filth in a 15-cell radius.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A spacious waste disposal unit that efficiently keeps the surrounding area clean. Slowly removes trash and filth in a 15-cell radius.
VFE_LongPlantPot.label,long plant pot,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,long plant pot
VFE_LongPlantPot.description,Plant decorative flowers here to improve the mood of people nearby. Designed to be combined with other plant pots to form various shapes.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,Plant decorative flowers here to improve the mood of people nearby. Designed to be combined with other plant pots to form various shapes.
VFE_DeskLamp.label,desk lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,desk lamp
VFE_DeskLamp.description,An electrical desk lamp that lights a small area. People need light to move and work at full speed.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,An electrical desk lamp that lights a small area. People need light to move and work at full speed.
VFE_FloorLamp.label,floor lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,floor lamp
VFE_FloorLamp.description,"A low-profile light source embedded into the floor. While not as bright as a standing lamp, it provides subtle, even lighting without obstructing movement. Does not short circuit in rain.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A low-profile light source embedded into the floor. While not as bright as a standing lamp, it provides subtle, even lighting without obstructing movement. Does not short circuit in rain."
Light_Streetlamp.label,outdoor lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,outdoor lamp
Light_Streetlamp.description,"An electrical standing lamp that lights an area, good for large outdoor spaces. Will automatically turn off during the day to prevent power consumption.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An electrical standing lamp that lights an area, good for large outdoor spaces. Will automatically turn off during the day to prevent power consumption."
Bed_Ergonomic.label,ergonomic bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic bed
Bed_Ergonomic.description,"A modern, adjustable bed designed for maximum comfort and proper spinal support.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, adjustable bed designed for maximum comfort and proper spinal support."
Bed_DoubleErgonomic.label,ergonomic double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic double bed
Bed_DoubleErgonomic.description,"A modern, adjustable bed designed for maximum comfort and proper spinal support. Fits two people.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, adjustable bed designed for maximum comfort and proper spinal support. Fits two people."
Table_Wardrobe.label,wardrobe,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,wardrobe
Table_Wardrobe.description,A tall wardrobe for storing clothing and other items. Gives a small comfort bonus to all nearby beds. Placing more than one wardrobe near the same bed has no effect.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A tall wardrobe for storing clothing and other items. Gives a small comfort bonus to all nearby beds. Placing more than one wardrobe near the same bed has no effect.
Seat_ModernChair.label,ergonomic chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,ergonomic chair
Seat_ModernChair.description,"A modern, well-designed chair with excellent back support and padding, providing high comfort.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A modern, well-designed chair with excellent back support and padding, providing high comfort."
VFE_ModularCouch.label,modular couch,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,modular couch
VFE_ModularCouch.description,"A compact, cushioned seat designed to be combined with others to create larger couches or corner seating arrangements. Ideal for large rec rooms, lounges, or social areas.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A compact, cushioned seat designed to be combined with others to create larger couches or corner seating arrangements. Ideal for large rec rooms, lounges, or social areas."
Bed_Kingsize.label,royal poster bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal poster bed
Bed_Kingsize.description,"An extravagant four-poster bed fit for nobility, adorned with intricate carvings. Extremely comfy and luxurious, its imposing frame and detailed craftsmanship make it a work of art. Fits two.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"An extravagant four-poster bed fit for nobility, adorned with intricate carvings. Extremely comfy and luxurious, its imposing frame and detailed craftsmanship make it a work of art. Fits two."
Table_RoyalEndTable.label,royal end table,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal end table
Table_RoyalEndTable.description,"A finely crafted bedside table adorned with gold inlays and exquisite detailing. Enhances the comfort of nearby beds, providing a touch of nobility to any sleeping quarters. Must be placed directly adjacent to the head of the bed. Placing more than one near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A finely crafted bedside table adorned with gold inlays and exquisite detailing. Enhances the comfort of nearby beds, providing a touch of nobility to any sleeping quarters. Must be placed directly adjacent to the head of the bed. Placing more than one near the same bed has no effect."
Table_RoyalDresser.label,royal dresser,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal dresser
Table_RoyalDresser.description,"A luxurious dresser, adorned with solid gold and elegant in design, making nearby beds more comfortable.Placing more than one end table near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A luxurious dresser, adorned with solid gold and elegant in design, making nearby beds more comfortable.Placing more than one end table near the same bed has no effect."
VFE_RoyalWardrobe.label,royal wardrobe,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal wardrobe
VFE_RoyalWardrobe.description,"A grand, gold-trimmed wardrobe designed for nobility. Gives a small comfort bonus to all nearby beds. Placing more than one royal wardrobe near the same bed has no effect.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A grand, gold-trimmed wardrobe designed for nobility. Gives a small comfort bonus to all nearby beds. Placing more than one royal wardrobe near the same bed has no effect."
VFE_RoyalLamp.label,royal standing lamp,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal standing lamp
VFE_RoyalLamp.description,A beautifully crafted standing lamp adorned with gold trim and elegant design.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A beautifully crafted standing lamp adorned with gold trim and elegant design.
Seat_RoyalChair.label,royal chair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal chair
Seat_RoyalChair.description,"A luxurious, high-backed dining chair adorned with fine upholstery and intricate craftsmanship. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A luxurious, high-backed dining chair adorned with fine upholstery and intricate craftsmanship. Can be used at tables, work stations, and elsewhere."
Seat_RoyalArmchair.label,royal armchair,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal armchair
Seat_RoyalArmchair.description,"A grand, exquisitely crafted armchair with deep cushions, fine upholstery, and ornate detailing. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A grand, exquisitely crafted armchair with deep cushions, fine upholstery, and ornate detailing. Can be used at tables, work stations, and elsewhere."
Table_Royal1x1c.label,royal table (1x1),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (1x1)
Table_Royal1x2c.label,royal table (1x2),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (1x2)
Table_Royal2x2c.label,royal table (2x2),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (2x2)
Table_Royal2x4c.label,royal table (2x4),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (2x4)
Table_Royal3x3c.label,royal table (3x3),label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,royal table (3x3)
VFE_ListeningToMusic.label,listening to music,label,HediffDef/HediffDef.xml,def,Vanilla Furniture Expanded,listening to music
VFE_ListeningToMusic.description,Currently gaining recreation due to listening to music.,description,HediffDef/HediffDef.xml,def,Vanilla Furniture Expanded,Currently gaining recreation due to listening to music.
Play_Roulette.reportString,playing roulette.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing roulette.
Play_Arcade.reportString,playing arcade game.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing arcade game.
Play_Piano.reportString,playing piano.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing piano.
Play_DartsBoard.reportString,playing darts.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,playing darts.
Play_PunchingBag.reportString,using punching bag.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using punching bag.
VFE_Play_Computer.reportString,using computer.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using computer.
VFE_Play_Sunbathing.reportString,sunbathing.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,sunbathing.
VFE_ListenToMusic.reportString,listening to music.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,listening to music.
VFE_ComputerLearning.reportString,using computer.,reportString,JobDef/JobDef.xml,def,Vanilla Furniture Expanded,using computer.
VFE_ComputerLearning.label,computer using,label,LearningDesireDef/LearningDesireDef.xml,def,Vanilla Furniture Expanded,computer using
VFE_ComputerLearning.description,"Use educational application, play educational games, watch (or listen) to educational videos. Requires a powered computer with a chair.",description,LearningDesireDef/LearningDesireDef.xml,def,Vanilla Furniture Expanded,"Use educational application, play educational games, watch (or listen) to educational videos. Requires a powered computer with a chair."
VFE_ComputerUsage.label,computer usage,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,computer usage
VFE_StrengthPlay.label,strength play,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,strength play
Gaming_Electronic.label,electronic play,label,JoyKindDef/JoyKindDef.xml,def,Vanilla Furniture Expanded,electronic play
Tale_UsedPunchingBag.label,used punching bag,label,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,used punching bag
Tale_UsedPunchingBag.rulePack.rulesStrings.0,tale_noun->[PAWN_nameDef] taking out his anger on a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) taking out his anger on a (PH_1)
Tale_UsedPunchingBag.rulePack.rulesStrings.1,tale_noun->[PAWN_nameDef] looking angrily at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) looking angrily at a (PH_1)
Tale_UsedPunchingBag.rulePack.rulesStrings.2,tale_noun->[PAWN_nameDef] enjoying [PAWN_objective]self at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_4)(PH_3) enjoying (PH_2)self at a (PH_1)
Tale_UsedPunchingBag.rulePack.rulesStrings.3,"image->[PAWN_nameFull] poised over the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) poised over the (PH_2), (PH_1)"
Tale_UsedPunchingBag.rulePack.rulesStrings.4,"image->[PAWN_nameFull] punching the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) punching the (PH_2), (PH_1)"
Tale_UsedPunchingBag.rulePack.rulesStrings.5,circumstance_phrase->tense with energy,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_1)tense with energy
Tale_UsedPunchingBag.rulePack.rulesStrings.6,circumstance_phrase->[PAWN_possessive] body loose and relaxed,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) body loose and relaxed
Tale_UsedPunchingBag.rulePack.rulesStrings.7,circumstance_phrase->gently massaging [PAWN_possessive] wrists,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)gently massaging (PH_1) wrists
Tale_UsedPunchingBag.rulePack.rulesStrings.8,circumstance_phrase->[angstyverb] with a [AdjectiveAngsty] expression,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) with a (PH_1) expression
Tale_UsedPunchingBag.rulePack.rulesStrings.9,circumstance_phrase->wrapping their hands in tape,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_1)wrapping their hands in tape
Tale_UsedPunchingBag.rulePack.rulesStrings.10,circumstance_phrase->[angstyverb],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1)
Tale_UsedPunchingBag.rulePack.rulesStrings.11,desc_sentence->A [Color] aurora shines in the background.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)A (PH_1) aurora shines in the background.
Tale_UsedPunchingBag.rulePack.rulesStrings.12,"desc_sentence->In the distance, a [Community] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible."
Tale_UsedPunchingBag.rulePack.rulesStrings.13,"desc_sentence->In the distance, a [TerrainFeature] is visible.",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_2)In the distance, a (PH_1) is visible."
Tale_UsedPunchingBag.rulePack.rulesStrings.14,desc_sentence->[PAWN_nameDef]'s features are exaggerated.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1)'s features are exaggerated.
Tale_UsedPunchingBag.rulePack.rulesStrings.15,desc_sentence->[PAWN_nameDef] towers above the scene.,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_2)(PH_1) towers above the scene.
Tale_UsedComputer.label,used computer,label,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,used computer
Tale_UsedComputer.rulePack.rulesStrings.0,tale_noun->[PAWN_nameDef] focusing heavily on the [OBJECT_label] in front of them,li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) focusing heavily on the (PH_1) in front of them
Tale_UsedComputer.rulePack.rulesStrings.1,tale_noun->[PAWN_nameDef] looking angrily at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_3)(PH_2) looking angrily at a (PH_1)
Tale_UsedComputer.rulePack.rulesStrings.2,tale_noun->[PAWN_nameDef] enjoying [PAWN_objective]self at a [OBJECT_label],li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,(PH_4)(PH_3) enjoying (PH_2)self at a (PH_1)
Tale_UsedComputer.rulePack.rulesStrings.3,"image->[PAWN_nameFull] poised over the [OBJECT_label], [circumstance_group]",li,TaleDef/TaleDef.xml,def,Vanilla Furniture Expanded,"(PH_4)(PH_3) poised over the (PH_2), (PH_1)"
